Date;Country;Sales_2008;Market;SegmentMix
2019-04-01;GB;1084;158869;11.0337
2019-05-01;GB;1257;184178;11.0337
2019-06-01;GB;1471;215531;11.0337
2019-07-01;GB;1109;162495;11.0337
2019-08-01;GB;469;68777;11.0337
2019-09-01;GB;2614;383062;11.0337
2019-10-01;GB;1070;156797;11.0337
2019-11-01;GB;1037;151998;11.0337
2019-12-01;GB;1002;146861;11.0337
2020-01-01;GB;1077;157740;11.0337
2020-02-01;GB;497;72838;11.0337
2020-03-01;GB;3085;451995;11.0337
2020-04-01;GB;1084;158869;11.0337
2020-05-01;GB;1257;184178;11.0337
2020-06-01;GB;1471;215531;11.0337
2020-07-01;GB;1109;162495;11.0337
2020-08-01;GB;469;68777;11.0337
2020-09-01;GB;2614;383062;11.0337
2020-10-01;GB;1070;156797;11.0337
2020-11-01;GB;1037;151998;11.0337
2020-12-01;GB;1002;146861;11.0337
2021-01-01;GB;0;136568;14.1066
2021-02-01;GB;0;147706;14.1066
2021-03-01;GB;0;189871;14.1066
2021-04-01;GB;0;168912;14.1066
2021-05-01;GB;0;169373;14.1066
2021-06-01;GB;0;191186;14.1066
2021-07-01;GB;0;150839;14.1066
2021-08-01;GB;0;89817;14.1066
2021-09-01;GB;0;149495;14.1066
2021-10-01;GB;0;157944;14.1066
2021-11-01;GB;0;141014;14.1066
2021-12-01;GB;0;172276;14.1066
2022-01-01;GB;0;161685;14.6158
2022-02-01;GB;0;174871;14.6158
2022-03-01;GB;0;224791;14.6158
2022-04-01;GB;0;199977;14.6158
2022-05-01;GB;0;200523;14.6158
2022-06-01;GB;0;226348;14.6158
2022-07-01;GB;0;178580;14.6158
2022-08-01;GB;0;106335;14.6158
2022-09-01;GB;0;176989;14.6158
2022-10-01;GB;0;186993;14.6158
2022-11-01;GB;0;166948;14.6158
2022-12-01;GB;0;203960;14.6158
2023-01-01;GB;0;165639;14.4202
2023-02-01;GB;0;179147;14.4202
2023-03-01;GB;0;230289;14.4202
2023-04-01;GB;0;204868;14.4202
2023-05-01;GB;0;205427;14.4202
2023-06-01;GB;0;231884;14.4202
2023-07-01;GB;0;182947;14.4202
2023-08-01;GB;0;108936;14.4202
2023-09-01;GB;0;181318;14.4202
2023-10-01;GB;0;191566;14.4202
2023-11-01;GB;0;171031;14.4202
2023-12-01;GB;0;208948;14.4202
2024-01-01;GB;0;169813;14.8001
2024-02-01;GB;0;183662;14.8001
2024-03-01;GB;0;236092;14.8001
2024-04-01;GB;0;210030;14.8001
2024-05-01;GB;0;210604;14.8001
2024-06-01;GB;0;237727;14.8001
2024-07-01;GB;0;187557;14.8001
2024-08-01;GB;0;111681;14.8001
